"filename", "language", "Lua", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Pichau\Documents\DangerousSky2\README.md", "Markdown", 0, 0, 12, 0, 5, 17
"c:\Users\Pichau\Documents\DangerousSky2\default.project.json", "JSON", 0, 29, 0, 0, 4, 33
"c:\Users\Pichau\Documents\DangerousSky2\sourcemap.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\Pichau\Documents\DangerousSky2\src\client\Runner.client.lua", "Lua", 7, 0, 0, 0, 2, 9
"c:\Users\Pichau\Documents\DangerousSky2\src\client\Tests\Inventory.client.lua", "Lua", 8, 0, 0, 1, 5, 14
"c:\Users\Pichau\Documents\DangerousSky2\src\server\Runner.server.lua", "Lua", 7, 0, 0, 0, 2, 9
"c:\Users\Pichau\Documents\DangerousSky2\src\server\Tests\Inventory.server.lua", "Lua", 6, 0, 0, 1, 3, 10
"c:\Users\Pichau\Documents\DangerousSky2\src\server\Tests\TableMove.spec.server.lua", "Lua", 5, 0, 0, 0, 1, 6
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\Components\Button.lua", "Lua", 62, 0, 0, 10, 29, 101
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\Components\Frame.lua", "Lua", 51, 0, 0, 8, 24, 83
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\Components\Slider.lua", "Lua", 101, 0, 0, 15, 50, 166
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\Currency.lua", "Lua", 31, 0, 0, 5, 11, 47
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\Settings.lua", "Lua", 42, 0, 0, 6, 18, 66
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\StageProgess.lua", "Lua", 88, 0, 0, 0, 34, 122
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\Statistics.lua", "Lua", 56, 0, 0, 3, 24, 83
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Interface\Timer.lua", "Lua", 25, 0, 0, 0, 8, 33
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\PlayerLoad.lua", "Lua", 5, 0, 0, 0, 2, 7
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Soundtrack.lua", "Lua", 9, 0, 0, 0, 2, 11
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\StageLoad.lua", "Lua", 7, 0, 0, 0, 3, 10
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\Coil.lua", "Lua", 87, 0, 0, 10, 32, 129
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\Orb.lua", "Lua", 54, 0, 0, 6, 24, 84
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\Player.lua", "Lua", 44, 0, 0, 5, 15, 64
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\Stage.lua", "Lua", 80, 0, 0, 9, 32, 121
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\_Player\Inventory.lua", "Lua", 149, 0, 0, 10, 53, 212
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\_Player\Profile.lua", "Lua", 42, 0, 0, 5, 19, 66
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\_Stage\Conveyor.lua", "Lua", 22, 0, 0, 0, 10, 32
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\_Stage\MovablePlatform.lua", "Lua", 45, 0, 0, 0, 19, 64
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\_Stage\RotatablePlatform.lua", "Lua", 10, 0, 0, 0, 6, 16
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Client\Wrappers\_Stage\SpecialObject.lua", "Lua", 81, 0, 0, 10, 38, 129
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Configuration\Coils.lua", "Lua", 51, 0, 0, 0, 0, 51
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Configuration\Profile.lua", "Lua", 29, 0, 0, 0, 0, 29
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Configuration\Round.lua", "Lua", 5, 0, 0, 0, 1, 6
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\NumberFormatter.lua", "Lua", 11, 0, 0, 0, 5, 16
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\CommandsLoader.lua", "Lua", 16, 0, 0, 0, 6, 22
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\addTimer.lua", "Lua", 21, 0, 0, 0, 6, 27
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\ban.lua", "Lua", 32, 0, 0, 1, 12, 45
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\kick.lua", "Lua", 31, 0, 0, 1, 12, 44
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\mod.lua", "Lua", 31, 0, 0, 2, 12, 45
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\skip.lua", "Lua", 16, 0, 0, 0, 5, 21
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\spawnOrbs.lua", "Lua", 19, 0, 0, 0, 7, 26
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\stagesAmount.lua", "Lua", 23, 0, 0, 0, 6, 29
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\unban.lua", "Lua", 21, 0, 0, 0, 8, 29
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Commands\unmod.lua", "Lua", 31, 0, 0, 2, 12, 45
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\PlayerLoad.lua", "Lua", 7, 0, 0, 0, 2, 9
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\RoundLoader.lua", "Lua", 12, 0, 0, 0, 3, 15
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\Coil.lua", "Lua", 75, 0, 0, 7, 28, 110
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\Orb.lua", "Lua", 58, 0, 0, 5, 25, 88
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\Player.lua", "Lua", 101, 0, 0, 11, 41, 153
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\Round.lua", "Lua", 239, 0, 0, 8, 82, 329
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\_Player\Inventory.lua", "Lua", 65, 0, 0, 5, 32, 102
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\_Player\Profile.lua", "Lua", 66, 0, 0, 7, 30, 103
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\_Stage\Killbrick.lua", "Lua", 1, 0, 0, 0, 0, 1
"c:\Users\Pichau\Documents\DangerousSky2\src\shared\Server\Wrappers\_Stage\MovingPlataform.lua", "Lua", 1, 0, 0, 0, 0, 1
"Total", "-", 2086, 30, 12, 153, 810, 3091
